2025-05-16 10:08:19 [http-nio-8080-exec-3] INFO  c.c.b.c.api.route.RouteApiController - S'han trobat 10 rutes per l'usuari ciclista@example.com
2025-05-16 11:36:14 [http-nio-8080-exec-9] INFO  c.c.b.c.api.auth.AuthApiControllers - Petició per obtenir DTO simple de l'usuari: ciclista@example.com
2025-05-16 11:36:14 [http-nio-8080-exec-9] INFO  c.c.b.c.api.auth.AuthApiControllers - Usuari DTO retornat per: ciclista@example.com
2025-05-16 11:36:15 [http-nio-8080-exec-7] INFO  c.c.b.c.a.r.RewardApiController - Obtenint llista de recompenses disponibles
2025-05-16 11:36:27 [http-nio-8080-exec-5] INFO  c.c.b.c.a.r.RewardApiController - Consultant detalls de la recompensa amb ID: 8
2025-05-16 11:36:33 [http-nio-8080-exec-6] INFO  c.c.b.c.a.r.RewardApiController - Obtenint recompenses per a l'usuari amb mail: ciclista@example.com
2025-05-16 11:36:37 [http-nio-8080-exec-10] INFO  c.c.b.c.a.r.RewardApiController - Obtenint llista de recompenses disponibles
2025-05-16 11:40:28 [http-nio-8080-exec-1] INFO  c.c.b.c.api.route.RouteApiController - Rebuda petició per obtenir totes les rutes de l'usuari autenticat
2025-05-16 11:40:28 [http-nio-8080-exec-1] INFO  c.c.b.c.api.route.RouteApiController - S'han trobat 10 rutes per l'usuari ciclista@example.com
2025-05-16 11:40:29 [http-nio-8080-exec-7] INFO  c.c.b.c.a.r.RewardApiController - Obtenint llista de recompenses disponibles
2025-05-16 11:40:42 [http-nio-8080-exec-5] INFO  c.c.b.c.a.r.RewardApiController - Obtenint llista de recompenses disponibles
2025-05-16 11:40:47 [http-nio-8080-exec-6] INFO  c.c.b.c.api.route.RouteApiController - Rebuda petició per obtenir totes les rutes de l'usuari autenticat
2025-05-16 11:40:47 [http-nio-8080-exec-6] INFO  c.c.b.c.api.route.RouteApiController - S'han trobat 10 rutes per l'usuari ciclista@example.com
2025-05-16 11:40:49 [http-nio-8080-exec-3] INFO  c.c.b.c.a.r.RewardApiController - Obtenint llista de recompenses disponibles
2025-05-16 11:48:58 [http-nio-8080-exec-2] INFO  c.c.b.c.api.auth.AuthApiControllers - Intent de login per l'usuari: ciclista@example.com
2025-05-16 11:48:59 [http-nio-8080-exec-2] INFO  c.c.b.c.api.auth.AuthApiControllers - Login correcte per l'usuari: ciclista@example.com
2025-05-16 11:49:00 [http-nio-8080-exec-3] INFO  c.c.b.c.a.r.RewardApiController - Obtenint llista de recompenses disponibles
2025-05-16 11:49:00 [http-nio-8080-exec-4] INFO  c.c.b.c.a.r.RewardApiController - Obtenint llista de recompenses disponibles
2025-05-16 11:49:01 [http-nio-8080-exec-5] INFO  c.c.b.c.api.route.RouteApiController - Rebuda petició per obtenir totes les rutes de l'usuari autenticat
2025-05-16 11:49:01 [http-nio-8080-exec-5] INFO  c.c.b.c.api.route.RouteApiController - S'han trobat 10 rutes per l'usuari ciclista@example.com
2025-05-16 11:49:24 [http-nio-8080-exec-9] INFO  c.c.b.c.a.r.RewardApiController - Obtenint llista de recompenses disponibles
2025-05-16 11:49:25 [http-nio-8080-exec-10] INFO  c.c.b.c.api.route.RouteApiController - Rebuda petició per obtenir totes les rutes de l'usuari autenticat
2025-05-16 11:49:25 [http-nio-8080-exec-10] INFO  c.c.b.c.api.route.RouteApiController - S'han trobat 10 rutes per l'usuari ciclista@example.com
2025-05-16 11:49:26 [http-nio-8080-exec-1] INFO  c.c.b.c.a.r.RewardApiController - Obtenint llista de recompenses disponibles
2025-05-16 11:49:31 [http-nio-8080-exec-3] INFO  c.c.b.c.api.route.RouteApiController - Rebuda petició per obtenir totes les rutes de l'usuari autenticat
2025-05-16 11:49:31 [http-nio-8080-exec-3] INFO  c.c.b.c.api.route.RouteApiController - S'han trobat 10 rutes per l'usuari ciclista@example.com
2025-05-16 11:49:33 [http-nio-8080-exec-4] INFO  c.c.b.c.a.r.RewardApiController - Obtenint llista de recompenses disponibles
2025-05-16 11:49:38 [http-nio-8080-exec-6] INFO  c.c.b.c.api.route.RouteApiController - Rebuda petició per obtenir totes les rutes de l'usuari autenticat
2025-05-16 11:49:38 [http-nio-8080-exec-6] INFO  c.c.b.c.api.route.RouteApiController - S'han trobat 10 rutes per l'usuari ciclista@example.com
2025-05-16 11:50:08 [http-nio-8080-exec-4] INFO  c.c.b.c.a.r.RewardApiController - Obtenint llista de recompenses disponibles
2025-05-16 11:50:11 [http-nio-8080-exec-5] INFO  c.c.b.c.a.r.RewardApiController - Consultant detalls de la recompensa amb ID: 5
2025-05-16 11:50:14 [http-nio-8080-exec-7] INFO  c.c.b.c.a.r.RewardApiController - Obtenint llista de recompenses disponibles
2025-05-16 11:50:54 [http-nio-8080-exec-8] INFO  c.c.b.c.a.r.RewardApiController - Consultant detalls de la recompensa amb ID: 5
2025-05-16 11:50:57 [http-nio-8080-exec-9] INFO  c.c.b.c.a.r.RewardApiController - Obtenint llista de recompenses disponibles
2025-05-16 11:54:18 [http-nio-8080-exec-2] INFO  c.c.b.c.api.auth.AuthApiControllers - Intent de login per l'usuari: ciclista@example.com
2025-05-16 11:54:19 [http-nio-8080-exec-2] INFO  c.c.b.c.api.auth.AuthApiControllers - Login correcte per l'usuari: ciclista@example.com
2025-05-16 11:54:19 [http-nio-8080-exec-3] INFO  c.c.b.c.a.r.RewardApiController - Obtenint llista de recompenses disponibles
2025-05-16 11:54:19 [http-nio-8080-exec-4] INFO  c.c.b.c.a.r.RewardApiController - Obtenint llista de recompenses disponibles
2025-05-16 11:54:21 [http-nio-8080-exec-5] INFO  c.c.b.c.api.route.RouteApiController - Rebuda petició per obtenir totes les rutes de l'usuari autenticat
2025-05-16 11:54:21 [http-nio-8080-exec-5] INFO  c.c.b.c.api.route.RouteApiController - S'han trobat 10 rutes per l'usuari ciclista@example.com
2025-05-16 11:54:22 [http-nio-8080-exec-6] INFO  c.c.b.c.api.route.RouteApiController - Rebuda petició per obtenir la ruta amb ID 2
2025-05-16 11:54:22 [http-nio-8080-exec-6] INFO  c.c.b.c.api.route.RouteApiController - Ruta amb ID 2 retornada correctament
2025-05-16 11:54:31 [http-nio-8080-exec-7] INFO  c.c.b.c.api.route.RouteApiController - Rebuda petició per obtenir totes les rutes de l'usuari autenticat
2025-05-16 11:54:31 [http-nio-8080-exec-7] INFO  c.c.b.c.api.route.RouteApiController - S'han trobat 10 rutes per l'usuari ciclista@example.com
2025-05-16 11:54:32 [http-nio-8080-exec-8] INFO  c.c.b.c.api.route.RouteApiController - Rebuda petició per obtenir la ruta amb ID 2
2025-05-16 11:54:32 [http-nio-8080-exec-8] INFO  c.c.b.c.api.route.RouteApiController - Ruta amb ID 2 retornada correctament
2025-05-16 11:54:34 [http-nio-8080-exec-9] INFO  c.c.b.c.a.r.RewardApiController - Obtenint llista de recompenses disponibles
2025-05-16 11:54:38 [http-nio-8080-exec-1] INFO  c.c.b.c.api.route.RouteApiController - Rebuda petició per obtenir totes les rutes de l'usuari autenticat
2025-05-16 11:54:38 [http-nio-8080-exec-1] INFO  c.c.b.c.api.route.RouteApiController - S'han trobat 10 rutes per l'usuari ciclista@example.com
2025-05-16 11:54:38 [http-nio-8080-exec-2] INFO  c.c.b.c.a.r.RewardApiController - Obtenint llista de recompenses disponibles
2025-05-16 11:54:39 [http-nio-8080-exec-3] INFO  c.c.b.c.api.route.RouteApiController - Rebuda petició per obtenir totes les rutes de l'usuari autenticat
2025-05-16 11:54:39 [http-nio-8080-exec-3] INFO  c.c.b.c.api.route.RouteApiController - S'han trobat 10 rutes per l'usuari ciclista@example.com
2025-05-16 11:54:41 [http-nio-8080-exec-4] INFO  c.c.b.c.api.route.RouteApiController - Rebuda petició per obtenir la ruta amb ID 2
2025-05-16 11:54:41 [http-nio-8080-exec-4] INFO  c.c.b.c.api.route.RouteApiController - Ruta amb ID 2 retornada correctament
2025-05-16 11:54:43 [http-nio-8080-exec-6] INFO  c.c.b.c.api.route.RouteApiController - Rebuda petició per obtenir totes les rutes de l'usuari autenticat
2025-05-16 11:54:43 [http-nio-8080-exec-6] INFO  c.c.b.c.api.route.RouteApiController - S'han trobat 10 rutes per l'usuari ciclista@example.com
2025-05-16 11:54:44 [http-nio-8080-exec-7] INFO  c.c.b.c.a.r.RewardApiController - Obtenint llista de recompenses disponibles
2025-05-16 12:08:51 [http-nio-8080-exec-1] INFO  c.c.b.c.api.route.RouteApiController - Rebuda petició per obtenir totes les rutes de l'usuari autenticat
2025-05-16 12:08:51 [http-nio-8080-exec-1] INFO  c.c.b.c.api.route.RouteApiController - S'han trobat 10 rutes per l'usuari ciclista@example.com
2025-05-16 12:08:53 [http-nio-8080-exec-7] INFO  c.c.b.c.api.route.RouteApiController - Rebuda petició per obtenir la ruta amb ID 1
2025-05-16 12:08:53 [http-nio-8080-exec-7] INFO  c.c.b.c.api.route.RouteApiController - Ruta amb ID 1 retornada correctament
2025-05-16 12:09:06 [http-nio-8080-exec-6] INFO  c.c.b.c.api.route.RouteApiController - Rebuda petició per obtenir totes les rutes de l'usuari autenticat
2025-05-16 12:09:06 [http-nio-8080-exec-6] INFO  c.c.b.c.api.route.RouteApiController - S'han trobat 10 rutes per l'usuari ciclista@example.com
2025-05-16 12:09:46 [http-nio-8080-exec-4] INFO  c.c.b.c.a.r.RewardApiController - Obtenint llista de recompenses disponibles
2025-05-16 12:09:48 [http-nio-8080-exec-8] INFO  c.c.b.c.a.r.RewardApiController - Consultant detalls de la recompensa amb ID: 8
2025-05-16 12:09:51 [http-nio-8080-exec-1] INFO  c.c.b.c.a.r.RewardApiController - Usuari ciclista@example.com intenta recollir la recompensa amb ID 8
2025-05-16 12:09:51 [http-nio-8080-exec-1] INFO  c.c.b.c.a.r.RewardApiController - Recompensa amb ID 8 recollida correctament per ciclista@example.com
2025-05-16 12:10:12 [http-nio-8080-exec-5] INFO  c.c.b.c.a.r.RewardApiController - Obtenint llista de recompenses disponibles
